Count,Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,124,Carl Hubbell,1947,16,1928,1943,9,-0.4,535,1397,1288,95,246,30,2,4,101,1,2,33,172,0,12,,75,0.191,0.212,0.227,0.439
1,125,Miller Huggins,1964,13,1904,1916,0,35.4,1586,6825,5558,948,1474,146,50,9,318,324,31,1003,556,,,,192,0.265,0.382,0.314,0.696
1,126,Catfish Hunter,1987,15,1965,1979,8,4.6,304,710,658,60,149,16,3,6,51,2,0,8,160,0,10,5,39,0.226,0.234,0.287,0.521
1,127,Monte Irvin,1973,18,1938,1956,7,32.1,1035,4026,3495,571,1065,151,43,137,687,52,9,467,220,26,81,11,26,0.305,0.39,0.49,0.88
1,128,Reggie Jackson,1993,21,1967,1987,14,74,2820,11418,9864,1551,2584,463,49,563,1702,228,115,1375,2597,164,183,68,13,0.262,0.356,0.49,0.846
1,129,Travis Jackson,1982,15,1922,1936,1,44,1656,6682,6086,833,1768,291,86,135,929,71,54,412,565,26,39,,171,0.291,0.337,0.433,0.77
1,130,Fergie Jenkins,1991,19,1965,1983,3,2,413,1010,896,54,148,27,6,13,85,0,1,41,326,0,9,7,66,0.165,0.2,0.252,0.452
1,131,Hughie Jennings,1945,18,1891,1918,0,42.3,1284,5648,4895,992,1526,232,88,18,840,359,0,347,234,,,,119,0.312,0.391,0.406,0.797
1,132,Derek Jeter,2020,20,1995,2014,14,71.3,2747,12602,11195,1923,3465,544,66,260,1311,358,97,1082,1840,39,287,58,97,0.31,0.377,0.44,0.817
1,133,Judy Johnson,1975,11,1923,1936,2,13.9,709,2934,2663,467,809,152,40,25,457,75,5,185,14,,,,80,0.304,0.35,0.419,0.769
1,134,Randy Johnson,2015,22,1988,2009,10,-2.5,273,691,625,20,78,14,0,1,40,0,0,19,296,0,10,1,44,0.125,0.153,0.152,0.305
1,135,Walter Johnson,1936,21,1907,1927,0,12.7,934,2534,2324,241,547,94,41,24,255,13,4,110,419,,,,70,0.235,0.274,0.342,0.616
1,136,Chipper Jones,2018,19,1993,2012,8,85.3,2499,10614,8984,1619,2726,549,38,468,1623,150,46,1512,1409,177,253,97,3,0.303,0.401,0.529,0.93
1,137,Addie Joss,1978,9,1902,1910,0,-2.3,296,919,817,46,118,21,6,1,51,10,,54,297,,,,39,0.144,0.198,0.188,0.387
1,138,Jim Kaat,2022,25,1959,1983,3,5.3,840,1363,1251,117,232,44,5,16,106,5,1,63,367,1,14,7,34,0.185,0.227,0.267,0.494
1,139,Al Kaline,1980,22,1953,1974,18,92.9,2834,11597,10116,1622,3007,498,75,399,1582,137,65,1277,1020,133,271,104,45,0.297,0.376,0.48,0.855
1,140,Tim Keefe,1964,14,1880,1893,0,-2.3,618,2262,2083,248,390,60,38,12,134,13,,175,411,,,,,0.187,0.252,0.27,0.521
1,141,Willie Keeler,1939,19,1892,1910,0,54.2,2123,9619,8591,1719,2932,241,145,33,810,495,,524,136,,,,366,0.341,0.388,0.415,0.802
1,142,George Kell,1983,15,1943,1957,10,37.6,1795,7529,6702,880,2054,385,50,78,870,51,36,621,287,33,188,20,149,0.306,0.367,0.414,0.781
1,143,Joe Kelley,1971,17,1891,1908,0,50.4,1853,8163,7006,1421,2220,358,194,65,1194,443,,911,430,,,,140,0.317,0.402,0.451,0.853
1,144,George Kelly,1973,16,1915,1932,0,25.6,1622,6570,5993,819,1778,337,76,148,1020,65,51,386,694,6,,,158,0.297,0.342,0.452,0.794
1,145,King Kelly,1945,16,1878,1893,0,47,1456,6457,5896,1357,1813,359,102,69,950,368,,549,418,,,,,0.307,0.368,0.438,0.806
1,146,Harmon Killebrew,1984,22,1954,1975,13,60.3,2435,9833,8147,1283,2086,290,24,573,1584,19,18,1559,1699,160,243,77,0,0.256,0.376,0.509,0.884
1,147,Ralph Kiner,1975,10,1946,1955,6,48.1,1472,6256,5205,971,1451,216,39,369,1015,22,18,1011,749,90,126,7,9,0.279,0.398,0.548,0.946
1,148,Chuck Klein,1980,17,1928,1944,2,46.5,1753,7172,6486,1168,2076,398,74,300,1201,79,72,601,521,48,55,,69,0.32,0.379,0.543,0.922
1,149,Sandy Koufax,1972,12,1955,1966,7,-4.2,397,858,776,26,75,9,0,2,28,0,1,43,386,0,10,3,35,0.097,0.145,0.116,0.261
1,150,Tony La Russa,2014,6,1963,1973,0,-0.6,132,203,176,15,35,5,2,0,7,0,0,23,37,1,2,2,1,0.199,0.292,0.25,0.542
1,151,Nap Lajoie,1937,21,1896,1916,0,106.9,2480,10471,9590,1504,3243,657,163,82,1599,380,26,516,347,,,,221,0.338,0.38,0.466,0.846
1,152,Barry Larkin,2012,19,1986,2004,12,70.5,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,66,178,67,59,0.295,0.371,0.444,0.815
1,153,Tommy Lasorda,1997,3,1954,1956,0,-0.2,27,14,14,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0.071,0.071,0.071,0.143
1,154,Tony Lazzeri,1991,14,1926,1939,1,47.6,1740,7314,6297,986,1840,334,115,178,1194,148,82,869,864,37,8,,116,0.292,0.38,0.467,0.846
1,155,Bob Lemon,1976,15,1941,1958,7,10.7,615,1330,1183,148,274,54,9,37,147,2,1,93,241,0,9,3,49,0.232,0.288,0.386,0.674
1,156,Buck Leonard,1972,14,1935,1948,13,28.4,589,2556,2110,538,728,138,47,95,545,34,,396,,0,0,0,34,0.345,0.452,0.59,1.042
1,157,Freddie Lindstrom,1976,13,1924,1936,0,28.3,1438,6109,5611,895,1747,301,81,103,779,84,77,334,276,10,35,,146,0.311,0.351,0.449,0.8
1,158,John Henry Lloyd,1977,8,1921,1929,0,14.1,433,1828,1629,297,569,87,27,16,308,59,,133,,,,,62,0.349,0.4,0.465,0.865
1,159,Ernie Lombardi,1986,17,1931,1947,8,37.8,1853,6353,5855,601,1792,277,27,190,990,8,9,430,262,153,261,,18,0.306,0.358,0.46,0.818
1,160,Al Lopez,1977,19,1928,1947,2,16.3,1950,6611,5916,613,1547,206,43,51,652,46,32,556,538,129,137,,121,0.261,0.326,0.337,0.663
1,161,Ted Lyons,1955,21,1923,1946,1,3.8,705,1729,1563,162,364,49,9,5,149,0,1,73,201,0,9,,83,0.233,0.27,0.285,0.556
1,162,Connie Mack,1937,11,1886,1896,0,6.9,724,2949,2698,392,659,79,28,5,265,127,,170,127,,,,17,0.244,0.305,0.3,0.604
1,163,Biz Mackey,2006,22,1920,1947,5,26.2,894,3474,3072,497,1008,164,57,52,604,60,5,297,9,0,,,90,0.328,0.39,0.469,0.859
1,164,Greg Maddux,2014,23,1986,2008,8,1.8,737,1812,1591,103,272,35,2,5,84,11,3,34,419,0,15,2,180,0.171,0.191,0.205,0.395
1,165,Mickey Mantle,1974,18,1951,1968,20,110.2,2401,9910,8102,1676,2415,344,72,536,1509,153,38,1733,1710,148,113,47,14,0.298,0.421,0.557,0.977
1,166,Heinie Manush,1964,17,1923,1939,1,48,2008,8422,7654,1288,2524,491,160,110,1183,113,63,506,345,28,11,,186,0.33,0.377,0.479,0.856
1,167,Rabbit Maranville,1954,23,1912,1935,0,43.9,2670,11260,10078,1256,2605,380,177,28,884,291,146,839,756,2,21,,300,0.258,0.318,0.34,0.658
1,168,Juan Marichal,1983,16,1960,1975,10,1.1,464,1343,1221,73,202,29,2,4,75,2,5,38,269,0,20,7,71,0.165,0.191,0.202,0.393
1,169,Rube Marquard,1971,18,1908,1925,0,-2.3,536,1196,1107,63,198,17,3,1,66,6,2,33,208,,,,48,0.179,0.207,0.202,0.41
1,170,Edgar Martinez,2019,18,1987,2004,7,68.4,2055,8674,7213,1219,2247,514,15,309,1261,49,30,1283,1202,113,190,77,10,0.312,0.418,0.515,0.933
1,171,Pedro Martinez,2015,18,1992,2009,8,-2.2,277,518,434,22,43,6,2,0,18,0,0,15,190,0,5,3,63,0.099,0.134,0.122,0.256
1,172,Eddie Mathews,1978,17,1952,1968,12,96.1,2391,10101,8537,1509,2315,354,72,512,1453,68,39,1444,1487,142,123,58,36,0.271,0.376,0.509,0.885
1,173,Christy Mathewson,1936,17,1900,1916,0,6.2,647,1900,1687,151,362,50,12,7,167,20,1,116,218,,,,69,0.215,0.272,0.271,0.543
1,174,Willie Mays,1979,23,1948,1973,24,156.1,3005,12545,10924,2068,3293,525,141,660,1909,338,103,1468,1526,214,251,91,13,0.301,0.384,0.557,0.94
1,175,Bill Mazeroski,2001,17,1956,1972,10,36.5,2163,8379,7755,769,2016,294,62,138,853,27,23,447,706,110,194,70,87,0.26,0.299,0.367,0.667
1,176,Tommy McCarthy,1946,13,1884,1896,0,16.2,1273,5739,5120,1066,1493,191,53,44,732,468,,536,185,,,,33,0.292,0.364,0.375,0.74
1,177,Willie McCovey,1986,22,1959,1980,6,64.5,2588,9692,8197,1229,2211,353,46,521,1555,26,22,1345,1550,260,176,70,5,0.27,0.374,0.515,0.889
1,178,Joe McGinnity,1946,10,1899,1908,0,-2.9,477,1424,1297,109,251,21,10,0,90,26,,34,158,,,,81,0.194,0.221,0.225,0.446
1,179,John McGraw,1937,17,1891,1907,0,45.7,1100,4946,3924,1024,1309,121,70,13,462,436,,836,155,,,,46,0.334,0.466,0.41,0.876
1,180,Bill McKechnie,1962,11,1907,1920,0,3.4,846,3182,2843,319,713,86,33,8,240,127,4,190,204,,,,132,0.251,0.301,0.313,0.614
1,181,Bid McPhee,2000,18,1882,1899,0,52.5,2138,9429,8304,1684,2258,303,189,53,1072,568,,982,377,,,,56,0.272,0.355,0.373,0.728
